date,speaker,text,source_file
2025-01-22,biggs,"Thank you, Mr. Chair.
It is ludicrous for the Ranking Member of the Subcommittee
to make the argument that millions of illegal aliens who
crossed into the country during the Biden Administration
invaded the country because the immigration system is, quote,
``broken.''
The fact is these individuals came because of Biden's open
border policy. No fence, no detention, no removal, and,
frankly, no enforcement. That's what happened.
It is rich to decry the pardons of President Trump yet fail
to even insult, discuss, address places like San Diego, which
have just become a super sanctuary city, or the California",2025-01-22_biggs.txt
2025-01-22,biggs,"It is almost silly to say that the Senate plan,
which would have allowed 7,500 people a day into the country
before the President had to take any Executive action at all
would have been a panacea Biden's failed policies.
It is unique and, perhaps, we're fortunate that an
individual, as the Ranking Member of the entire Committee, is
able to condemn pardons, Presidential Pardons as the only
person that I know of on this dais who has actually received a",2025-01-22_biggs.txt
2025-01-22,biggs,"Well, not just what it should be. That's the
law.",2025-01-22_biggs.txt
2025-01-22,biggs,"No administration has been successful in doing
that because there is a massive number of asylum requests.",2025-01-22_biggs.txt
2025-01-22,biggs,"Under this administration, how many asylum
requestors have been released into the country?",2025-01-22_biggs.txt
2025-01-22,biggs,"If they were actually detained by the way the
law requires and which President Trump says he wants to do, he
wants to enforce the law, what does that do to incentives to
come into this country illegally?",2025-01-22_biggs.txt
2025-01-22,biggs,"If you're not detaining them, that's the magnet.",2025-01-22_biggs.txt
2025-01-22,biggs,"If you do detain them, it becomes a deterrent.",2025-01-22_biggs.txt
2025-01-22,biggs,"If you remove people, like you have 1.4 million
who are actively in the country with removal orders, that
doesn't count all the 500,000 plus criminal individuals. That
is just the 1.4 who have had due process.",2025-01-22_biggs.txt
2025-01-22,biggs,"If you begin removing people, what does that do
as a deterrent or a magnet?",2025-01-22_biggs.txt
